,Simulated,Observed,zone,geometry,well
2019-01-02,33.31515,27.267825499999997,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225
2019-01-03,32.06816,17.019921460000003,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225
2019-01-04,28.342512,20.74939632,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225
2019-01-05,29.199406,21.46881847,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225
2019-01-06,30.252064,31.50943508,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225
2019-01-07,34.32129,35.40693471,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225
2019-01-08,40.429806,39.16702253,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225
2019-01-09,39.805706,38.60596884,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225
2019-01-10,45.435158,41.57107705,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225
2019-01-11,47.678764,41.2954785,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225
2019-01-12,42.596107,39.571855740000004,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225
2019-01-13,40.69242,38.836979729999996,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225
2019-01-14,39.349373,38.11605027,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225
2019-01-15,37.843945,26.226952970000003,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225
2019-01-16,36.59046,35.760151050000005,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225
2019-01-17,43.459293,42.87751214000001,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225
2019-01-18,51.398537,52.70681526999999,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225
2019-01-19,52.336716,49.156753699999996,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225
2019-01-20,51.67125,45.09904731,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225
2019-01-21,51.49774,45.00258966999999,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225
2019-01-22,52.340366,45.60826392,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225
2019-01-23,51.992973,43.36777065,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225
2019-01-24,46.381435,41.836527329999996,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225
2019-01-25,44.481995,39.091022730000006,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225
2019-01-26,42.19129,38.308036369999996,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225
2019-01-27,41.75562,39.545724879999995,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225
2019-01-28,41.51636,37.702666019999995,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225
2019-01-29,40.562244,38.961494110000004,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225
2019-01-30,40.8197,38.64537706,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225
2019-01-31,40.533283,38.36774652,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225
2019-02-01,40.087006,38.13494532,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225
