0	546.0
86400	465.0
172800	440.0
259200	455.0
345600	412.0
432000	361.0
518400	312.0
604800	277.0
691200	246.0
777600	225.0
864000	209.0
950400	192.0
1036800	254.0
1123200	1980.0
1209600	2520.0
1296000	3350.0
1382400	1810.0
1468800	1320.0
1555200	5270.0
1641600	3120.0
1728000	2970.0
1814400	2250.0
1900800	1610.0
1987200	1270.0
2073600	1070.0
2160000	1450.0
2246400	1080.0
2332800	864.0
2419200	721.0
2505600	623.0
2592000	547.0
2678400	494.0
2764800	435.0
2851200	386.0
2937600	345.0
3024000	312.0
3110400	289.0
3196800	263.0
3283200	240.0
3369600	225.0
3456000	242.0
3542400	304.0
3628800	341.0
3715200	1840.0
3801600	3910.0
3888000	1870.0
3974400	4020.0
4060800	4020.0
4147200	2510.0
4233600	1690.0
4320000	1370.0
4406400	1080.0
4492800	880.0
4579200	752.0
4665600	665.0
4752000	595.0
4838400	541.0
4924800	498.0
5011200	464.0
5097600	432.0
5184000	402.0
5270400	376.0
5356800	353.0
5443200	334.0
5529600	318.0
5616000	303.0
5702400	290.0
5788800	279.0
5875200	268.0
5961600	261.0
6048000	260.0
6134400	260.0
6220800	252.0
6307200	241.0
6393600	229.0
6480000	217.0
6566400	206.0
6652800	197.0
6739200	189.0
6825600	181.0
6912000	177.0
6998400	171.0
7084800	166.0
7171200	162.0
7257600	158.0
7344000	155.0
7430400	146.0
7516800	140.0
7603200	133.0
7689600	123.0
7776000	114.0
7862400	108.0
7948800	101.0
8035200	93.8
8121600	87.6
8208000	84.7
8294400	82.4
8380800	82.3
8467200	79.1
8553600	76.2
8640000	72.3
8726400	67.1
8812800	64.3
8899200	62.6
8985600	61.7
9072000	60.8
9158400	62.4
9244800	68.7
9331200	82.4
