,Simulated,Observed,zone,geometry,well
2016-01-02,33.676907,51.07567329,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225
2016-01-03,34.529034,48.92135539,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225
2016-01-04,33.390553,52.61990901,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225
2016-01-05,34.63661,54.0128847,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225
2016-01-06,36.688957,57.06374661,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225
2016-01-07,37.77283,59.34722853,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225
2016-01-08,39.611057,61.6759591,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225
2016-01-09,39.988373,59.44515895,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225
2016-01-10,39.59188,58.23365087,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225
2016-01-11,39.21009,57.58163795,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225
2016-01-12,38.85094,56.61628001,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225
2016-01-13,37.664883,53.95872299,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225
2016-01-14,37.35778,40.97733854,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225
2016-01-15,38.162235,53.43664318,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225
2016-01-16,38.26183,55.03781408,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225
2016-01-17,38.877754,60.17985155,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225
2016-01-18,40.86575,63.47009678,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225
2016-01-19,43.237274,68.48145583,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225
2016-01-20,43.739517,68.79216922,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225
2016-01-21,43.407497,60.66309494,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225
2016-01-22,40.558243,61.69517275,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225
2016-01-23,41.571087,61.24602931,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225
2016-01-24,41.186607,57.81419161,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225
2016-01-25,40.223473,56.25971749,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225
2016-01-26,39.377934,54.96086923,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225
2016-01-27,38.76147,54.12906091,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225
2016-01-28,38.117714,53.36500778,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225
2016-01-29,37.50062,52.77088033,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225
2016-01-30,37.03933,52.67223129,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225
2016-01-31,37.151928,53.08020329,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225
2016-02-01,37.049057,52.6805557,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225
2016-02-02,36.707287,52.70667168,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225
2016-02-03,36.452763,53.04691596,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225
2016-02-04,36.025925,51.7934277,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225
2016-02-05,35.480385,53.0341039,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225
2016-02-06,35.830784,57.21858544,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225
2016-02-07,36.074337,53.63790973,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225
2016-02-08,35.033302,52.35006709,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225
2016-02-09,34.81411,52.1910404,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225
2016-02-10,34.19855,51.32239978,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225
2016-02-11,33.79337,50.82213172,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225
2016-02-12,33.35103,50.38382294,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225
2016-02-13,32.946762,50.14416317,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225
2016-02-14,32.58753,49.91783824,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225
2016-02-15,32.258003,49.72425175,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225
2016-02-16,31.939932,49.66686659,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225
2016-02-17,31.642052,52.90569094,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225
2016-02-18,32.611454,38.88264019,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225
2016-02-19,33.280716,38.07708479,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225
2016-02-20,32.99775,36.21145283,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225
